Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,119.9800033569336,120.38999938964844,116.76000213623047,118.4800033569336,118.1443099975586,4992900
2020-11-03,118.87000274658203,121.66000366210938,118.30000305175781,120.81999969482422,120.47767639160156,5052500
2020-11-04,126.43000030517578,129.14999389648438,124.55999755859375,128.25999450683594,127.89659118652344,8513300
2020-11-05,130.14999389648438,131.44000244140625,128.8699951171875,129.92999267578125,129.56185913085938,5462000
2020-11-06,130.22000122070312,134.9499969482422,129.61000061035156,134.1199951171875,133.739990234375,5077300
2020-11-09,132.72000122070312,136.5,129.75,130.35000610351562,130.35000610351562,6252600
2020-11-10,128.33999633789062,128.85000610351562,121.23999786376953,122.44999694824219,122.44999694824219,4923100
2020-11-11,124.37000274658203,127.69999694824219,123.8499984741211,127.05999755859375,127.05999755859375,3050700
2020-11-12,127.18000030517578,129.74000549316406,125.87999725341797,127.6500015258789,127.6500015258789,2254100
2020-11-13,129.08999633789062,130.05999755859375,126.41999816894531,127.6500015258789,127.6500015258789,1752700
2020-11-16,127.7300033569336,131.52999877929688,127.06999969482422,131.30999755859375,131.30999755859375,3885500
2020-11-17,131.25,132.8699951171875,129.92999267578125,130.41000366210938,130.41000366210938,1901300
2020-11-18,130.2100067138672,131.5,128.82000732421875,129.0800018310547,129.0800018310547,2305000
2020-11-19,128.4600067138672,133.35000610351562,127.97000122070312,132.9600067138672,132.9600067138672,4079000
2020-11-20,132.74000549316406,134.0,131.8800048828125,132.3800048828125,132.3800048828125,3402800
2020-11-23,133.44000244140625,136.85000610351562,132.30999755859375,133.3000030517578,133.3000030517578,2438200
2020-11-24,134.1199951171875,134.57000732421875,130.32000732421875,133.22000122070312,133.22000122070312,1065500
2020-11-25,134.0,137.3300018310547,133.9199981689453,135.55999755859375,135.55999755859375,1992500
2020-11-27,137.22999572753906,137.8000030517578,135.5399932861328,137.49000549316406,137.49000549316406,962600
2020-11-30,137.49000549316406,145.83999633789062,136.64999389648438,145.5500030517578,145.5500030517578,4900000
2020-12-01,145.0,147.47999572753906,142.4199981689453,145.8000030517578,145.8000030517578,2744300
2020-12-02,145.8000030517578,151.5399932861328,145.58999633789062,147.11000061035156,147.11000061035156,2332300
2020-12-03,147.6699981689453,148.5,143.91000366210938,144.38999938964844,144.38999938964844,1895700
2020-12-04,144.9199981689453,148.92999267578125,142.27999877929688,147.91000366210938,147.91000366210938,2264600
2020-12-07,149.39999389648438,149.39999389648438,146.58999633789062,148.27000427246094,148.27000427246094,1821200
2020-12-08,147.97000122070312,149.33999633789062,144.7100067138672,146.19000244140625,146.19000244140625,1682200
