Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,62.959999084472656,64.87999725341797,62.59000015258789,64.70999908447266,64.70999908447266,3666000
2020-11-03,65.5999984741211,66.0,64.4000015258789,64.98999786376953,64.98999786376953,3552600
2020-11-04,64.9000015258789,64.91000366210938,62.119998931884766,62.279998779296875,62.279998779296875,4431700
2020-11-05,62.93000030517578,64.0999984741211,62.459999084472656,63.470001220703125,63.470001220703125,3283400
2020-11-06,63.5,64.83000183105469,61.63999938964844,61.86000061035156,61.86000061035156,4872900
2020-11-09,74.87000274658203,82.5,73.0999984741211,79.0999984741211,79.0999984741211,24996200
2020-11-10,76.69999694824219,84.48999786376953,75.30999755859375,78.83999633789062,78.83999633789062,14440400
2020-11-11,77.9800033569336,78.5,72.5199966430664,73.41000366210938,73.41000366210938,6844600
2020-11-12,71.66000366210938,72.62999725341797,68.01000213623047,69.13999938964844,69.13999938964844,8143000
2020-11-13,71.62999725341797,75.1500015258789,70.80000305175781,74.69999694824219,74.69999694824219,7732900
2020-11-16,79.94999694824219,82.41999816894531,78.8499984741211,78.95999908447266,78.95999908447266,13224900
2020-11-17,77.94999694824219,81.33000183105469,76.9800033569336,78.95999908447266,78.95999908447266,6171800
2020-11-18,77.87000274658203,81.04000091552734,76.5999984741211,76.61000061035156,76.61000061035156,7493300
2020-11-19,75.98999786376953,81.33000183105469,75.48999786376953,80.62999725341797,80.62999725341797,16282200
2020-11-20,80.4800033569336,81.79000091552734,79.26000213623047,81.12000274658203,81.12000274658203,9721800
2020-11-23,84.75,86.30000305175781,82.30000305175781,85.41000366210938,85.41000366210938,10874800
2020-11-24,88.73999786376953,91.37000274658203,88.41999816894531,88.79000091552734,88.79000091552734,9742200
2020-11-25,88.41000366210938,88.87999725341797,86.30000305175781,87.19000244140625,87.19000244140625,5973300
2020-11-27,87.95999908447266,88.5999984741211,85.52999877929688,85.55000305175781,85.55000305175781,2305900
2020-11-30,85.31999969482422,86.9000015258789,82.4000015258789,82.56999969482422,82.56999969482422,6987300
2020-12-01,84.6500015258789,86.29000091552734,83.88999938964844,84.98999786376953,84.98999786376953,4872800
2020-12-02,83.7300033569336,87.98999786376953,82.5999984741211,87.25,87.25,4333200
2020-12-03,87.88999938964844,91.69999694824219,87.29000091552734,89.62999725341797,89.62999725341797,5490000
2020-12-04,92.23999786376953,94.36000061035156,90.70999908447266,93.91000366210938,93.91000366210938,5268500
2020-12-07,93.69999694824219,93.80000305175781,89.0,89.37000274658203,89.37000274658203,6097000
2020-12-08,89.7300033569336,91.94999694824219,88.5,90.11000061035156,90.11000061035156,4596900
